Port,longitude,latitude
KEFLAVIK,-22.33,64
STRAUMSVIK,-22.03,64.03
HAFNARFJORDUR,-21.57,64.04
SKERJAFJORDUR,-22.01,64.09
REYKJAVIK,-21.56,64.09
GRUNDARTANGI,-22,64.16
BILDUDALUR,-23.36,65.41
THINGEYRI,-23.29,65.53
BOLUNGAVIK,-23.14,66.1
ISAFJORDUR,-23.07,66.04
BLONDUOS,-20.18,65.4
SKAGASTROND,-20.19,65.5
SAUDARKROKUR,-19.4,65.45
SIGLUFJORHURD,-18.55,66.09
OLAFSFJORDHUR,-18.38,66.05
DALVIK,-18.31,65.59
AKUREYRI,-18.05,65.41
HUSAVIK,-17.2,66.02
KOPASKER,-16.27,66.17
RAUFARHOFN,-15.56,66.27
VOPNAFJORDHUR,-14.5,65.45
SEYDHISFJORDHUR,-14,65.16
NESKAUPSTADUR,-13.41,65.09
ESKIFJORDHUR,-14.01,65.04
BUDIR,-14.01,64.56
DJUPIVOGUR,-14.17,64.4
HORNABJORDUR,-15.14,64.15
VESTMANNAEYJAR,-20.17,63.26
QUTDLEQ,-42.13,61.31
KUSANARTOQ,-42.13,61.46
NANORTALIK HAVN,-45.12,60.07
QAQURTOQ,-46.03,60.43
NARSAQ,-46.03,60.55
NARSARSSUAQ,-45.26,61.09
GRONNEDAL (KANGILINNGUIT),-48.06,61.14
PAAMUIT (FREDERIKSHAB),-49.4,62
KANGERLUARSORUSEQ,-51.33,63.42
NUUK,-51.45,64.11
MANIITSOQ,-52.55,65.25
KANGAMIUT,-53.18,65.49
SISIMIUT,-53.42,66.55
KANGERLUSUAQ,-50.57,66.58
ATTU,-53.44,67.57
AASIAAT,-52.52,68.42
QASIGIANNGUIT-CHRISTIANSHAB,-51.11,68.49
ILLULISSAT (JAKOBSHAVN),-51.06,69.13
QEQERTARSUAQ,-53.32,69.14
NIAQORNAT,-53.4,70.48
UUMMANNAQ HARBOR,-52.09,70.41
KAJALLEQ UPERNAVIK,-55.32,72.09
UPERNAVIK,-56.09,72.46
PITUFFIK (THULE AIR BASE),-68.52,76.32
POND INLET,-76.45,72.45
PADLOPING ISLAND,-62.44,67.02
PANGNIRTUNG,-65.45,66.08
CHURCHILL,-94.11,58.47
GOOSE BAY,-60.18,53.22
CONCHE,-55.54,50.53
RODDICKTON,-56.08,50.52
WESTPORT COVE,-56.37,49.47
SEAL COVE,-56.23,49.56
LITTLE BAY,-56,49.37
SPRINGDALE,-56.04,49.3
FORTUNE HARBOR,-55.14,49.32
TWILLINGATE HARBOR,-54.46,49.4
BONAVISTA HARBOR,-53.07,48.39
CATALINA HARBOR,-53.05,48.3
PORT UNION,-53.05,48.3
CLARENVILLE,-53.57,48.09
CARBONEAR BAY,-53.13,47.44
HARBOR GRACE,-53.13,47.41
ST JOHN'S,-52.42,47.34
TREPASSEY HARBOR,-53.24,46.44
ARGENTIA,-53.59,47.18
COME BY CHANCE HARBOR,-54.01,47.48
PORT DE ST PIERRE,-56.1,46.47
GRAND BANK,-55.45,47.06
BURGEO,-57.37,47.36
PORT AUX BASQUES,-59.08,47.34
STEPHENVILLE,-58.32,48.32
ST GEORGE'S,-58.27,48.27
CORNER BROOK,-57.57,48.57
BLANC SABLON,-57.08,51.25
HAVRE ST PIERRE,-63.36,50.14
MINGAN,-64.01,50.17
SEPT ILES,-66.23,50.12
POINTE NOIRE,-66.29,50.1
PORT CARTIER,-66.47,50.02
MATANE,-67.32,48.51
BAIE COMEAU,-68.08,49.14
RIMOUSKI,-68.31,48.27
TADOUSSAC,-69.43,48.09
LA BAIE (PORT ALFRED),-70.53,48.2
CHICOUTIMI (PORT SAGUENAY),-71.04,48.26
RIVIERE DU LOUP,-69.31,47.5
QUEBEC,-71.13,46.49
PORT DE BECANCOUR,-72.23,46.24
